# OpenSignals Text File Format. Version 1
# {"00:07:80:4B:3C:23": {"position": 0, "device": "biosignalsplux", "device name": "00:07:80:4B:3C:23", "device connection": "BTH00:07:80:4B:3C:23", "sampling rate": 1000, "resolution": [16, 16], "firmware version": 776, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2024-10-21", "time": "12:1:56.342", "channels": [5, 7], "sensor": ["EMG", "EMG"], "label": ["CH5", "CH7"], "column": ["nSeq", "DI", "CH5", "CH7"], "special": [{"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}], "digital IO": [0, 1], "sleeve color": ["light_green", "red"]}}
# EndOfHeader
0	0	32804	32748	
1	0	32736	32799	
2	0	32780	32815	
3	0	32826	32748	
4	0	32804	32838	
5	0	32772	32823	
6	0	32802	32743	
7	0	32820	32850	
8	0	32768	32597	
9	0	32912	32766	
10	0	32830	32918	
11	0	32822	32812	
12	0	32796	32741	
13	0	32800	32853	
14	0	32782	32855	
15	0	32752	32707	
16	0	32770	32698	
17	0	32808	32823	
18	0	32775	32876	
19	0	32884	32802	
20	0	32764	32743	
21	0	32818	32809	
22	0	32808	32852	
23	0	32796	32708	
24	0	32800	32740	
25	0	32884	32831	
26	0	32740	32854	
27	0	32701	32916	
28	0	32754	32801	
29	0	32799	32678	
30	0	32812	32775	
31	0	32766	32943	
32	0	32816	32742	
33	0	32830	32900	
34	0	32888	32807	
35	0	32796	32722	
36	0	32828	32775	
37	0	32788	32759	
38	0	32780	32799	
39	0	32820	32892	
40	0	32760	32795	
41	0	32720	32831	
42	0	32856	32822	
43	0	32836	32640	
44	0	32822	32735	
45	0	32822	32903	
46	0	32792	32827	
47	0	32852	32703	
48	0	32768	32903	
49	0	32764	32738	
50	0	32791	32847	
51	0	32812	32799	
52	0	32780	32775	
53	0	32804	32903	
54	0	32792	32743	
55	0	32819	32775	
56	0	32884	32750	
57	0	32797	32775	
58	0	32848	32813	
59	0	32804	32887	
60	0	32824	32743	
61	0	32756	32820	
62	0	32796	32759	
63	0	32804	32756	
64	0	32772	32738	
65	0	32812	32871	
66	0	32804	32757	
67	0	32808	32775	
68	0	32865	32835	
69	0	32804	32834	
70	0	32784	32901	
71	0	32764	32806	
72	0	32774	32815	
73	0	32826	32926	
74	0	32744	32726	
75	0	32820	32895	
76	0	32752	32966	
77	0	32769	32617	
78	0	32788	32750	
79	0	32880	32895	
80	0	32728	32674	
81	0	32840	32726	
82	0	32850	32855	
83	0	32800	32860	
84	0	32798	32707	
85	0	32837	32842	
86	0	32790	32885	
87	0	32752	32714	
88	0	32798	32819	
89	0	32824	32890	
90	0	32777	32638	
91	0	32801	32775	
92	0	32792	32775	
93	0	32782	32726	
94	0	32700	32860	
95	0	32812	32763	
96	0	32852	32738	
97	0	32772	32818	
98	0	32812	32931	
99	0	32748	32774	
100	0	32784	32765	
101	0	32840	32901	
102	0	32816	32798	
103	0	32849	32803	
104	0	32814	32838	
105	0	32752	32647	
106	0	32775	32767	
107	0	32804	32951	
108	0	32775	32702	
109	0	32756	32796	
110	0	32759	32819	
111	0	32788	32623	
112	0	32820	32684	
113	0	32760	32826	
114	0	32744	32838	
115	0	32796	32791	
116	0	32780	32807	
117	0	32788	32820	
118	0	32772	32826	
119	0	32844	32759	
120	0	32782	32711	
121	0	32776	32849	
122	0	32796	32815	
123	0	32844	32815	
124	0	32840	32794	
125	0	32808	32703	
126	0	32750	32732	
127	0	32754	32766	
128	0	32832	32887	
129	0	32780	32854	
130	0	32842	32751	
131	0	32790	32858	
132	0	32750	32894	
133	0	32798	32711	
134	0	32782	32774	
135	0	32806	32825	
136	0	32756	32764	
137	0	32804	32709	
138	0	32766	32942	
139	0	32790	32751	
140	0	32846	32775	
